AIS,DATA,HORA,MUNICÍPIO,INDICIADO GÊNERO,INDICIADO IDADE,RELACIONAMENTO
AIS 04,2014-08-04,10:19:10,Fortaleza,Masculino,69,Não informado
AIS 14,2014-08-04,10:34:44,Granja,Masculino,17,Não informado
AIS 21,2014-08-05,08:00:00,Iguatu,Masculino,19,Não informado
AIS 19,2014-08-05,16:00:00,Crato,Masculino,15,Não informado
AIS 19,2014-08-07,10:40:00,Missão Velha,Masculino,54,Não informado
AIS 03,2014-08-07,15:36:45,Fortaleza,Masculino,40,Não informado
AIS 08,2014-08-13,08:57:43,Fortaleza,Masculino,64,Não informado
AIS 19,2014-08-13,10:00:00,Jardim,Masculino,53,Não informado
AIS 12,2014-08-16,09:00:00,Maracanaú,Masculino,36,Não informado
AIS 23,2014-08-16,15:00:00,Trairi,Masculino,24,Não informado
AIS 17,2014-08-19,09:00:00,Bela Cruz,Masculino,59,Não informado
AIS 07,2014-08-19,19:00:50,Fortaleza,Masculino,49,Não informado
AIS 21,2014-08-20,17:00:00,Várzea Alegre,Masculino,52,Não informado
AIS 06,2014-08-22,09:41:27,Fortaleza,Masculino,38,Não informado
AIS 19,2014-08-23,14:57:22,Crato,Feminino,28,OUTROS
AIS 14,2014-08-23,20:00:00,Croatá,Masculino,17,Não informado
AIS 14,2014-08-25,19:00:00,Tianguá,Masculino,16,Não informado
AIS 24,2014-08-26,12:20:00,Maranguape,Masculino,37,Não informado
AIS 14,2014-08-26,15:30:00,Groaíras,Masculino,19,Não informado
AIS 20,2014-08-27,17:09:17,Quixeramobim,Masculino,26,Não informado
AIS 20,2014-08-28,13:00:00,Pedra Branca,Masculino,47,Não informado
AIS 03,2014-09-01,09:57:54,Fortaleza,Masculino,35,Não informado
AIS 08,2014-09-01,14:00:00,Fortaleza,Masculino,19,Não informado
AIS 09,2014-09-02,08:19:42,Fortaleza,Não identificado,37,Não informado
AIS 14,2014-09-02,11:31:11,Mucambo,Masculino,58,Não informado
AIS 14,2014-09-02,15:30:27,Graça,Masculino,41,Não informado
AIS 06,2014-09-02,17:01:46,Fortaleza,Masculino,37,Não informado
AIS 11,2014-09-03,11:00:00,Caucaia,Masculino,90,Não informado
AIS 24,2014-09-05,10:12:26,Pacatuba,Feminino,15,Não informado
AIS 24,2014-09-07,10:30:00,Pacatuba,Masculino,36,Não informado
AIS 15,2014-09-07,18:00:00,Capistrano,Masculino,42,Não informado
AIS 20,2014-09-07,19:00:00,Senador Pompeu,Masculino,18,Não informado
AIS 03,2014-09-08,16:13:20,Fortaleza,Masculino,59,Não informado
AIS 02,2014-09-09,14:00:00,Fortaleza,Masculino,35,Não informado
AIS 11,2014-09-10,10:03:37,Caucaia,Masculino,55,Não informado
AIS 23,2014-09-13,09:30:00,Trairi,Masculino,48,Não informado
AIS 20,2014-09-13,20:06:05,Pedra Branca,Masculino,21,Não informado
AIS 25,2014-09-14,10:30:00,Itaitinga,Masculino,44,Não informado
AIS 11,2014-09-16,15:25:57,Caucaia,Masculino,45,Não informado
AIS 18,2014-09-19,14:21:12,Aracati,Masculino,17,Não informado
AIS 18,2014-09-19,17:00:39,Russas,Masculino,Não informado,Não informado
AIS 14,2014-09-21,11:20:00,Tianguá,Masculino,83,Não informado
AIS 16,2014-09-22,08:00:00,Crateús,Masculino,13,Não informado
AIS 02,2014-09-22,09:46:26,Fortaleza,Masculino,44,Não informado
AIS 06,2014-09-22,14:00:00,Fortaleza,Masculino,41,Não informado
AIS 21,2014-09-22,18:00:40,Icó,Masculino,37,Não informado
AIS 19,2014-09-23,11:49:34,Juazeiro do Norte,Feminino,13,Não informado
AIS 15,2014-09-23,17:30:00,Itapiúna,Masculino,33,Não informado
AIS 16,2014-09-23,20:00:00,Ipaporanga,Masculino,50,Não informado
AIS 19,2014-09-23,21:00:24,Juazeiro do Norte,Masculino,45,Não informado
AIS 19,2014-09-24,23:30:18,Penaforte,Masculino,25,Não informado
AIS 19,2014-09-25,14:17:45,Crato,Masculino,27,Não informado
AIS 11,2014-09-26,20:59:09,Caucaia,Masculino,62,Não informado
AIS 20,2014-09-27,17:30:00,Quixadá,Masculino,29,Não informado
AIS 14,2014-09-29,12:57:02,Graça,Masculino,41,Não informado
AIS 14,2014-09-29,13:53:32,Croatá,Masculino,27,Não informado
AIS 14,2014-09-29,18:00:10,Martinópole,Masculino,36,TIO(A)
AIS 20,2014-09-29,18:40:49,Pedra Branca,Masculino,64,Não informado
AIS 21,2014-09-30,15:30:00,Iguatu,Masculino,59,Não informado
AIS 16,2014-10-01,18:00:00,Santa Quitéria,Masculino,38,Não informado
AIS 17,2014-10-01,20:00:00,Itarema,Masculino,26,PADRASTO
AIS 14,2014-10-03,14:00:56,Granja,Masculino,19,Não informado
AIS 18,2014-10-04,21:00:00,Icapuí,Masculino,17,Não informado
AIS 18,2014-10-05,17:00:00,Aracati,Masculino,49,Não informado
AIS 01,2014-10-05,17:00:51,Fortaleza,Masculino,33,Não informado
AIS 14,2014-10-05,21:23:57,Barroquinha,Masculino,23,Não informado
AIS 12,2014-10-06,06:00:00,Maracanaú,Masculino,49,Não informado
AIS 01,2014-10-06,12:00:00,Fortaleza,Masculino,72,Não informado
AIS 01,2014-10-06,14:30:00,Fortaleza,Masculino,17,Não informado
AIS 05,2014-10-07,07:30:00,Fortaleza,Masculino,16,Não informado
AIS 13,2014-10-07,20:00:00,Aquiraz,Masculino,18,Não informado
AIS 02,2014-10-09,15:31:06,Fortaleza,Masculino,42,Não informado
AIS 18,2014-10-10,07:00:00,Tabuleiro do Norte,Masculino,29,Não informado
AIS 05,2014-10-10,15:26:44,Fortaleza,Masculino,16,Não informado
AIS 13,2014-10-12,14:20:00,Aquiraz,Masculino,78,Não informado
AIS 04,2014-10-12,19:00:00,Fortaleza,Masculino,51,Não informado
AIS 23,2014-10-12,19:30:00,São Gonçalo do Amarante,Masculino,23,Não informado
AIS 20,2014-10-13,06:00:17,Banabuiú,Masculino,27,Não informado
AIS 22,2014-10-17,09:00:00,Tauá,Masculino,48,Não informado
AIS 18,2014-10-21,15:00:00,Beberibe,Masculino,44,Não informado
AIS 11,2014-10-22,11:35:02,Caucaia,Masculino,42,Não informado
AIS 17,2014-10-25,09:00:00,Itarema,Masculino,40,Não informado
AIS 12,2014-10-25,19:01:46,Maracanaú,Masculino,58,Não informado
AIS 11,2014-10-26,21:00:00,Caucaia,Masculino,39,Não informado
AIS 17,2014-10-27,12:30:00,Itarema,Masculino,42,Não informado
AIS 06,2014-10-28,11:42:58,Fortaleza,Masculino,56,Não informado
AIS 03,2014-10-28,19:30:00,Fortaleza,Masculino,36,Não informado
AIS 17,2014-10-29,20:00:00,Uruburetama,Masculino,60,Não informado
AIS 09,2014-11-01,05:00:00,Fortaleza,Masculino,16,Não informado
AIS 06,2014-11-01,09:00:00,Fortaleza,Masculino,32,Não informado
AIS 19,2014-11-01,14:00:00,Abaiara,Masculino,14,Não informado
AIS 24,2014-11-03,09:20:00,Pacatuba,Masculino,27,Não informado
AIS 10,2014-11-04,14:18:23,Fortaleza,Masculino,38,Não informado
AIS 14,2014-11-05,15:04:46,Meruoca,Masculino,18,TIO(A)
AIS 12,2014-11-10,18:30:54,Maracanaú,Masculino,15,Não informado
AIS 16,2014-11-11,20:00:00,Varjota,Masculino,15,Não informado
AIS 06,2014-11-13,14:00:00,Fortaleza,Masculino,29,Não informado
AIS 14,2014-11-14,21:00:00,Massapê,Masculino,44,Não informado
AIS 18,2014-11-15,05:00:00,Jaguaribe,Masculino,42,Não informado
AIS 14,2014-11-17,08:00:00,Granja,Masculino,24,Não informado
AIS 20,2014-11-17,10:00:00,Senador Pompeu,Masculino,15,Não informado
AIS 23,2014-11-17,14:45:00,São Gonçalo do Amarante,Masculino,35,Não informado
AIS 16,2014-11-17,16:00:00,Pires Ferreira,Masculino,49,Não informado
AIS 16,2014-11-19,18:30:00,Reriutaba,Masculino,42,Não informado
AIS 16,2014-11-22,14:00:00,Tamboril,Masculino,69,AVÔ(Ó)
AIS 18,2014-11-24,11:00:00,Limoeiro do Norte,Masculino,49,Não informado
AIS 18,2014-11-24,13:00:00,Beberibe,Masculino,58,Não informado
AIS 14,2014-11-24,17:00:03,Martinópole,Masculino,56,Não informado
AIS 16,2014-11-27,17:30:00,Independência,Masculino,40,Não informado
AIS 25,2014-11-29,19:00:00,Pacajus,Masculino,21,Não informado
AIS 19,2014-11-29,22:45:00,Brejo Santo,Masculino,18,Não informado
AIS 10,2014-12-01,07:00:00,Fortaleza,Masculino,25,Não informado
AIS 12,2014-12-01,10:53:51,Maracanaú,Masculino,34,Não informado
AIS 21,2014-12-01,14:52:44,Jucás,Masculino,27,Não informado
AIS 14,2014-12-01,18:30:48,Sobral,Masculino,60,Não informado
AIS 05,2014-12-02,22:00:00,Fortaleza,Masculino,52,Não informado
AIS 17,2014-12-04,09:00:29,Uruburetama,Masculino,25,Não informado
AIS 25,2014-12-05,16:30:00,Chorozinho,Masculino,21,Não informado
AIS 05,2014-12-06,14:30:00,Fortaleza,Masculino,31,Não informado
AIS 14,2014-12-10,15:00:32,Sobral,Masculino,31,Não informado
AIS 24,2014-12-11,21:00:00,Pacatuba,Feminino,25,Não informado
AIS 12,2014-12-12,02:10:00,Maracanaú,Masculino,56,Não informado
AIS 18,2014-12-12,09:05:06,Beberibe,Masculino,27,Não informado
AIS 14,2014-12-13,20:30:00,Croatá,Masculino,16,Não informado
AIS 12,2014-12-14,16:05:01,Maracanaú,Não identificado,46,Não informado
AIS 19,2014-12-17,15:30:00,Juazeiro do Norte,Masculino,43,Não informado
AIS 02,2014-12-18,15:30:00,Fortaleza,Masculino,14,Não informado
AIS 10,2014-12-21,17:00:40,Fortaleza,Masculino,17,Não informado
AIS 06,2014-12-21,20:00:00,Fortaleza,Masculino,42,Não informado
AIS 18,2014-12-30,08:30:00,Russas,Masculino,19,Não informado
AIS 14,2014-12-31,15:00:00,Carnaubal,Masculino,61,Não informado
AIS 13,2015-01-01,13:42:41,Cascavel,Masculino,57,Não informado
AIS 02,2015-01-03,00:00:00,Fortaleza,Masculino,34,Não informado
AIS 17,2015-01-03,02:00:00,Itarema,Masculino,36,Não informado
AIS 11,2015-01-08,15:00:00,Caucaia,Masculino,42,Não informado
AIS 04,2015-01-10,17:00:01,Fortaleza,Masculino,43,Não informado
AIS 01,2015-01-11,09:00:00,Fortaleza,Masculino,45,Não informado
AIS 16,2015-01-11,11:00:00,Monsenhor Tabosa,Masculino,35,Não informado
AIS 19,2015-01-16,12:00:45,Campos Sales,Masculino,60,Não informado
AIS Não Identificada (Fortaleza),2015-01-17,14:00:00,Fortaleza,Masculino,27,Não informado
AIS 14,2015-01-18,20:00:28,Meruoca,Masculino,16,Não informado
AIS 14,2015-01-19,10:43:07,Chaval,Masculino,26,Não informado
AIS 24,2015-01-19,13:00:00,Maranguape,Masculino,34,Não informado
AIS 10,2015-01-22,20:00:00,Fortaleza,Masculino,0,Não informado
AIS 11,2015-01-26,10:00:00,Caucaia,Masculino,39,Não informado
AIS 23,2015-01-26,15:00:00,Trairi,Masculino,49,Não informado
AIS 14,2015-01-27,16:06:35,Carnaubal,Masculino,30,Não informado
AIS 11,2015-01-27,19:25:00,Caucaia,Masculino,73,Não informado
AIS 05,2015-01-29,01:00:00,Fortaleza,Masculino,32,Não informado
AIS 16,2015-01-29,11:18:31,Reriutaba,Masculino,28,Não informado
AIS 24,2015-01-29,13:30:00,Maranguape,Masculino,40,Não informado
AIS 18,2015-01-31,19:00:00,Russas,Masculino,12,Não informado
AIS 14,2015-02-01,09:51:55,Pacujá,Masculino,43,Não informado
AIS 21,2015-02-02,07:40:00,Cedro,Masculino,52,Não informado
AIS 22,2015-02-02,19:30:00,Catarina,Masculino,17,Não informado
AIS 05,2015-02-08,16:30:00,Fortaleza,Masculino,44,Não informado
AIS 19,2015-02-10,19:40:16,Barbalha,Masculino,33,Não informado
AIS 08,2015-02-13,03:00:00,Fortaleza,Masculino,48,Não informado
AIS 12,2015-02-13,16:00:00,Maracanaú,Masculino,70,Não informado
AIS 25,2015-02-14,23:13:58,Horizonte,Masculino,36,Não informado
AIS 13,2015-02-15,15:48:57,Aquiraz,Masculino,40,Não informado
AIS 03,2015-02-16,19:00:00,Fortaleza,Masculino,43,Não informado
AIS 21,2015-02-17,17:50:00,Saboeiro,Masculino,41,Não informado
AIS 09,2015-02-17,19:00:03,Fortaleza,Masculino,23,Não informado
AIS Não Identificada (Fortaleza),2015-02-18,15:30:00,Fortaleza,Masculino,48,Não informado
AIS 14,2015-02-22,16:00:00,Tianguá,Masculino,26,Não informado
AIS 14,2015-02-23,23:30:00,Tianguá,Masculino,59,Não informado
AIS 23,2015-02-24,14:40:38,Paraipaba,Masculino,42,Não informado
AIS 13,2015-03-02,15:47:34,Aquiraz,Masculino,33,Não informado
AIS 14,2015-03-06,13:30:00,Granja,Masculino,31,Não informado
AIS 19,2015-03-09,15:00:00,Aurora,Masculino,43,Não informado
AIS 14,2015-03-09,17:45:48,Camocim,Masculino,21,Não informado
AIS 21,2015-03-09,18:17:14,Ipaumirim,Masculino,31,Não informado
AIS 12,2015-03-11,15:12:12,Maracanaú,Masculino,27,Não informado
AIS 19,2015-03-13,15:30:00,Juazeiro do Norte,Masculino,22,NAMORADO(A)
AIS 24,2015-03-14,08:00:00,Maranguape,Masculino,44,Não informado
AIS 19,2015-03-14,20:30:00,Araripe,Masculino,37,Não informado
AIS 18,2015-03-18,09:30:21,Aracati,Masculino,18,Não informado
AIS 14,2015-03-19,10:00:05,Camocim,Masculino,64,Não informado
AIS 01,2015-03-22,20:00:00,Fortaleza,Masculino,11,Não informado
AIS 14,2015-03-27,09:05:09,Carnaubal,Masculino,18,Não informado
AIS 07,2015-03-27,17:00:00,Fortaleza,Masculino,35,Não informado
AIS 03,2015-03-30,16:00:00,Fortaleza,Masculino,7,Não informado
AIS 01,2015-03-30,23:00:07,Fortaleza,Masculino,19,Não informado
AIS 25,2015-04-07,11:14:44,Pacajus,Masculino,14,Não informado
AIS 13,2015-04-08,08:40:18,Cascavel,Masculino,75,Não informado
AIS 03,2015-04-14,13:30:00,Fortaleza,Masculino,24,Não informado
AIS 08,2015-04-15,12:52:02,Fortaleza,Masculino,54,Não informado
AIS 17,2015-04-15,13:09:08,Uruburetama,Masculino,48,Não informado
AIS 18,2015-04-16,16:00:00,Palhano,Masculino,57,Não informado
AIS 16,2015-04-18,19:31:03,Ipueiras,Masculino,49,Não informado
AIS 12,2015-04-19,14:00:00,Maracanaú,Masculino,25,Não informado
AIS 14,2015-04-20,13:00:00,Carnaubal,Masculino,14,Não informado
AIS 17,2015-04-26,01:00:00,Acaraú,Masculino,16,Não informado
AIS 22,2015-04-27,13:00:00,Tauá,Masculino,26,Não informado
AIS 18,2015-04-28,15:00:00,Limoeiro do Norte,Masculino,74,Não informado
AIS 12,2015-05-02,09:09:19,Maracanaú,Masculino,36,Não informado
AIS 11,2015-05-06,06:30:00,Caucaia,Masculino,39,Não informado
AIS 20,2015-05-06,09:30:00,Quixeramobim,Masculino,18,OUTROS
AIS 02,2015-05-08,14:00:05,Fortaleza,Masculino,33,Não informado
AIS 14,2015-05-09,13:00:00,Mucambo,Masculino,32,Não informado
AIS 03,2015-05-09,20:00:00,Fortaleza,Masculino,34,Não informado
AIS 07,2015-05-09,21:00:00,Fortaleza,Masculino,55,Não informado
AIS 23,2015-05-10,14:23:43,Trairi,Masculino,47,Não informado
AIS 08,2015-05-10,16:00:16,Fortaleza,Masculino,34,Não informado
AIS 02,2015-05-11,19:00:00,Fortaleza,Masculino,17,Não informado
AIS 19,2015-05-13,14:00:00,Penaforte,Masculino,59,Não informado
AIS 22,2015-05-15,16:07:33,Tauá,Masculino,32,Não informado
AIS 14,2015-05-15,17:30:32,Granja,Masculino,40,Não informado
AIS 25,2015-05-15,19:30:00,Pacajus,Masculino,27,IRMA(O)
AIS 17,2015-05-16,09:00:00,Jijoca de Jericoacoara,Masculino,49,Não informado
AIS 19,2015-05-16,10:00:00,Crato,Masculino,62,Não informado
AIS 06,2015-05-17,03:00:00,Fortaleza,Masculino,39,Não informado
AIS 06,2015-05-17,03:30:00,Fortaleza,Masculino,39,Não informado
AIS 21,2015-05-18,14:12:00,Cedro,Masculino,22,Não informado
AIS 20,2015-05-18,15:30:00,Pedra Branca,Masculino,42,Não informado
AIS 16,2015-05-20,09:52:45,Hidrolândia,Masculino,52,PADRASTO
AIS 02,2015-05-20,11:11:07,Fortaleza,Masculino,53,Não informado
AIS 09,2015-05-21,15:56:59,Fortaleza,Masculino,27,Não informado
AIS 11,2015-05-21,16:49:32,Caucaia,Masculino,24,Não informado
AIS 15,2015-05-21,17:30:00,Aracoiaba,Masculino,48,Não informado
AIS 14,2015-05-23,19:10:50,Sobral,Masculino,23,Não informado
AIS 04,2015-05-23,21:30:19,Fortaleza,Masculino,Não informado,Não informado
AIS 06,2015-05-24,08:00:00,Fortaleza,Masculino,13,Não informado
AIS Não Identificada (Fortaleza),2015-05-26,12:16:45,Fortaleza,Masculino,19,Não informado
AIS 14,2015-05-26,18:30:00,Croatá,Masculino,18,Não informado
AIS 19,2015-05-28,08:00:00,Juazeiro do Norte,Masculino,41,Não informado
AIS 21,2015-05-28,10:42:04,Lavras da Mangabeira,Masculino,38,Não informado
AIS 19,2015-05-29,16:00:00,Penaforte,Masculino,62,Não informado
AIS 19,2015-06-01,17:00:00,Mauriti,Masculino,22,Não informado
AIS 23,2015-06-02,08:48:34,São Gonçalo do Amarante,Masculino,30,Não informado
AIS 16,2015-06-02,09:30:00,Ipu,Masculino,15,Não informado
AIS 18,2015-06-06,08:30:00,Aracati,Masculino,19,Não informado
AIS 19,2015-06-06,15:23:11,Milagres,Masculino,25,Não informado
AIS 17,2015-06-07,06:30:00,Itarema,Masculino,19,Não informado
AIS 07,2015-06-08,09:00:29,Fortaleza,Masculino,44,Não informado
AIS 21,2015-06-08,19:00:00,Quixelô,Masculino,44,Não informado
AIS 03,2015-06-08,22:00:24,Fortaleza,Masculino,30,Não informado
AIS 16,2015-06-10,05:12:59,Varjota,Masculino,59,Não informado
AIS 25,2015-06-11,13:02:10,Chorozinho,Masculino,20,Não informado
AIS 21,2015-06-12,14:00:00,Várzea Alegre,Masculino,54,Não informado
AIS 18,2015-06-13,02:00:28,Itaiçaba,Masculino,33,Não informado
AIS 15,2015-06-14,05:00:31,Boa Viagem,Masculino,23,Não informado
AIS 16,2015-06-15,12:30:00,Ipu,Masculino,23,NAMORADO(A)
AIS 20,2015-06-15,15:30:00,Quixeramobim,Masculino,26,Não informado
AIS 02,2015-06-17,09:31:37,Fortaleza,Masculino,40,Não informado
AIS 13,2015-06-17,17:00:00,Aquiraz,Masculino,59,Não informado
AIS 11,2015-06-17,23:23:36,Caucaia,Masculino,36,Não informado
AIS 09,2015-06-19,14:03:33,Fortaleza,Masculino,36,Não informado
AIS 03,2015-06-19,14:20:00,Fortaleza,Masculino,57,Não informado
AIS 21,2015-06-20,19:00:00,Baixio,Masculino,24,Não informado
AIS 14,2015-06-21,20:00:00,Camocim,Masculino,18,Não informado
AIS 02,2015-06-22,12:10:32,Fortaleza,Masculino,45,Não informado
AIS 09,2015-06-25,17:27:30,Fortaleza,Masculino,50,Não informado
AIS 16,2015-06-28,22:30:00,Ararendá,Masculino,52,TIO(A)
AIS 18,2015-06-29,10:00:00,Fortim,Masculino,24,Não informado
AIS 06,2015-06-30,15:26:40,Fortaleza,Feminino,46,Não informado
AIS 18,2015-06-30,20:30:48,Aracati,Masculino,48,Não informado
AIS 14,2015-07-01,00:00:00,Sobral,Masculino,48,OUTROS
AIS 09,2015-07-02,21:00:00,Fortaleza,Masculino,28,Não informado
AIS 21,2015-07-02,22:00:00,Lavras da Mangabeira,Masculino,14,Não informado
AIS 19,2015-07-06,15:00:00,Assaré,Masculino,64,Não informado
AIS 17,2015-07-07,09:37:26,Uruburetama,Masculino,34,Não informado
AIS 14,2015-07-08,09:52:21,Granja,Masculino,71,Não informado
AIS 02,2015-07-09,09:03:47,Fortaleza,Masculino,32,Não informado
AIS 17,2015-07-12,01:00:00,Cruz,Masculino,47,Não informado
AIS 07,2015-07-14,15:30:00,Fortaleza,Masculino,52,Não informado
AIS 24,2015-07-14,18:00:00,Maranguape,Masculino,32,Não informado
AIS 22,2015-07-14,20:00:00,Mombaça,Masculino,59,Não informado
AIS 11,2015-07-16,17:00:00,Caucaia,Masculino,51,Não informado
AIS 14,2015-07-20,20:00:00,Carnaubal,Masculino,23,Não informado
AIS 20,2015-07-21,09:45:22,Banabuiú,Masculino,42,Não informado
AIS 21,2015-07-21,13:00:00,Lavras da Mangabeira,Masculino,27,Não informado
AIS 19,2015-07-22,10:47:25,Brejo Santo,Masculino,36,Não informado
AIS 03,2015-07-24,14:30:00,Fortaleza,Masculino,20,Não informado
AIS 17,2015-07-25,14:00:00,Bela Cruz,Masculino,49,Não informado
AIS 20,2015-07-25,18:00:00,Ibaretama,Masculino,29,Não informado
AIS 09,2015-07-26,03:30:44,Fortaleza,Masculino,46,Não informado
AIS 09,2015-07-26,15:00:00,Fortaleza,Masculino,33,Não informado
AIS 14,2015-07-27,12:00:00,Guaraciaba do Norte,Masculino,16,Não informado
AIS 01,2015-07-27,17:00:09,Fortaleza,Masculino,20,Não informado
AIS 14,2015-07-28,22:00:00,Frecheirinha,Masculino,49,Não informado
AIS 16,2015-07-29,11:00:00,Reriutaba,Masculino,19,Não informado
AIS 15,2015-07-29,15:00:52,Aracoiaba,Masculino,49,Não informado
AIS 16,2015-07-31,17:00:00,Santa Quitéria,Masculino,28,Não informado
AIS 21,2015-08-01,17:00:00,Várzea Alegre,Masculino,34,Não informado
AIS 19,2015-08-01,23:00:00,Crato,Masculino,18,Não informado
AIS 14,2015-08-02,23:00:00,Croatá,Masculino,21,NAMORADO(A)
AIS 04,2015-08-04,10:00:00,Fortaleza,Masculino,52,Não informado
AIS 17,2015-08-04,11:38:35,Uruburetama,Masculino,Não informado,Não informado
AIS 02,2015-08-04,17:00:00,Fortaleza,Masculino,35,Não informado
AIS 09,2015-08-08,07:34:28,Fortaleza,Masculino,41,Não informado
AIS 01,2015-08-08,19:00:42,Fortaleza,Masculino,25,Não informado
AIS 13,2015-08-09,07:50:00,Eusébio,Masculino,43,Não informado
AIS 07,2015-08-09,21:00:00,Fortaleza,Masculino,16,Não informado
AIS 08,2015-08-10,01:00:11,Fortaleza,Masculino,37,Não informado
AIS 19,2015-08-10,15:00:00,Mauriti,Masculino,78,Não informado
AIS 18,2015-08-11,08:15:08,Icapuí,Masculino,43,Não informado
AIS 03,2015-08-11,15:00:29,Fortaleza,Masculino,41,Não informado
AIS 18,2015-08-11,16:01:38,Aracati,Masculino,21,Não informado
AIS 01,2015-08-13,11:12:58,Fortaleza,Masculino,45,Não informado
AIS 02,2015-08-14,00:00:57,Fortaleza,Masculino,32,Não informado
AIS 20,2015-08-18,10:00:00,Ibicuitinga,Masculino,27,Não informado
AIS 17,2015-08-18,12:30:00,Amontada,Masculino,47,Não informado
AIS 17,2015-08-18,14:00:00,Uruburetama,Masculino,38,Não informado
AIS 21,2015-08-19,12:00:00,Saboeiro,Masculino,20,Não informado
AIS 17,2015-08-19,14:30:00,Uruburetama,Masculino,53,Não informado
AIS 21,2015-08-20,08:55:29,Icó,Feminino,13,Não informado
AIS 03,2015-08-21,08:00:00,Fortaleza,Masculino,25,Não informado
AIS 06,2015-08-27,20:00:00,Fortaleza,Masculino,16,Não informado
AIS 14,2015-08-28,10:30:00,Tianguá,Masculino,45,Não informado
AIS 15,2015-09-01,12:30:53,Capistrano,Masculino,34,Não informado
AIS 14,2015-09-02,10:00:00,Graça,Masculino,39,Não informado
AIS 18,2015-09-02,20:30:00,Tabuleiro do Norte,Masculino,71,Não informado
AIS 17,2015-09-03,18:30:00,Itapajé,Masculino,15,Não informado
AIS 14,2015-09-06,12:00:00,Camocim,Masculino,29,Não informado
AIS 05,2015-09-08,19:30:33,Fortaleza,Masculino,26,Não informado
AIS 17,2015-09-09,11:30:00,Acaraú,Masculino,60,Não informado
AIS 04,2015-09-12,22:30:00,Fortaleza,Masculino,53,Não informado
AIS 07,2015-09-13,17:30:00,Fortaleza,Masculino,51,Não informado
AIS 06,2015-09-14,10:00:00,Fortaleza,Masculino,39,Não informado
AIS 25,2015-09-16,19:10:00,Itaitinga,Masculino,15,Não informado
AIS 07,2015-09-20,03:30:00,Fortaleza,Masculino,50,Não informado
AIS 07,2015-09-20,10:00:00,Fortaleza,Masculino,50,Não informado
AIS 14,2015-09-21,08:00:00,Graça,Masculino,49,Não informado
AIS 24,2015-09-21,22:00:40,Maranguape,Masculino,37,Não informado
AIS 12,2015-09-22,14:30:35,Maracanaú,Masculino,17,Não informado
AIS Não Identificada (Fortaleza),2015-09-22,14:34:19,Fortaleza,Masculino,Não informado,Não informado
AIS 08,2015-09-22,17:09:10,Fortaleza,Masculino,62,Não informado
AIS 02,2015-09-23,10:47:48,Fortaleza,Masculino,48,Não informado
AIS 18,2015-09-23,15:00:00,Russas,Masculino,62,Não informado
AIS 18,2015-09-24,08:00:00,Russas,Masculino,70,Não informado
AIS 14,2015-09-24,09:00:00,Coreaú,Masculino,54,Não informado
AIS 07,2015-09-24,13:56:35,Fortaleza,Masculino,43,Não informado
AIS 21,2015-09-25,19:00:00,Acopiara,Masculino,19,Não informado
AIS Não Identificada (Fortaleza),2015-09-26,16:00:00,Fortaleza,Masculino,19,Não informado
AIS 11,2015-09-28,11:45:00,Caucaia,Masculino,42,Não informado
AIS 20,2015-09-28,16:50:43,Ibicuitinga,Masculino,31,Não informado
AIS 11,2015-09-30,23:00:00,Caucaia,Masculino,48,PADRASTO
AIS 16,2015-10-01,15:30:00,Ipueiras,Masculino,14,Não informado
AIS 14,2015-10-01,17:00:00,Graça,Masculino,65,Não informado
AIS 14,2015-10-03,12:00:00,Croatá,Masculino,61,Não informado
AIS 06,2015-10-03,15:00:00,Fortaleza,Masculino,23,Não informado
AIS 03,2015-10-04,15:30:00,Fortaleza,Masculino,18,Não informado
AIS 12,2015-10-05,07:00:00,Maracanaú,Masculino,20,Não informado
AIS 12,2015-10-05,14:36:40,Maracanaú,Masculino,62,Não informado
AIS 12,2015-10-06,10:00:00,Maracanaú,Masculino,41,Não informado
AIS 20,2015-10-06,12:30:00,Choró,Masculino,16,Não informado
AIS 19,2015-10-07,20:00:00,Barbalha,Masculino,19,Não informado
AIS 05,2015-10-08,11:30:00,Fortaleza,Masculino,61,Não informado
AIS 07,2015-10-09,09:00:00,Fortaleza,Masculino,65,Não informado
AIS 19,2015-10-10,16:00:00,Juazeiro do Norte,Masculino,15,Não informado
AIS 03,2015-10-12,19:43:00,Fortaleza,Masculino,46,Não informado
AIS 16,2015-10-13,11:30:00,Reriutaba,Masculino,20,Não informado
AIS 24,2015-10-13,11:32:42,Maranguape,Masculino,43,Não informado
AIS 06,2015-10-15,15:40:00,Fortaleza,Masculino,14,Não informado
AIS 09,2015-10-15,18:00:00,Fortaleza,Masculino,23,Não informado
AIS 15,2015-10-17,09:30:04,Barreira,Masculino,25,Não informado
AIS 12,2015-10-18,17:30:00,Maracanaú,Masculino,19,Não informado
AIS 03,2015-10-19,00:40:00,Fortaleza,Masculino,17,Não informado
AIS 10,2015-10-21,17:00:00,Fortaleza,Masculino,21,Não informado
AIS 07,2015-10-23,07:00:00,Fortaleza,Masculino,39,Não informado
AIS 04,2015-10-23,10:39:00,Fortaleza,Masculino,69,AVÔ(Ó)
AIS 09,2015-10-23,13:00:00,Fortaleza,Masculino,32,Não informado
AIS 15,2015-10-23,23:00:52,Redenção,Masculino,18,Não informado
AIS 02,2015-10-24,10:00:00,Fortaleza,Masculino,57,Não informado
AIS 21,2015-10-24,16:30:00,Iguatu,Masculino,29,Não informado
